cases_key,date_ref,waitingtime,accountid,count_cases
0,2020-07-31,15.0,0013j00002z0CeEAAU,1
1,2020-07-31,15.0,0013j00002z0CeEAAU,1
2,2020-09-23,1.0,0013j00002z0CeEAAU,1
3,2020-08-29,6.0,0013j00002zQgldAAC,1
4,2020-08-29,6.0,0013j00002zQgldAAC,1
5,2020-08-29,6.0,0013j00002zQgldAAC,1
6,2020-09-05,10.0,0013j00002zQgldAAC,1
7,2020-10-03,4.0,0013j0000304oN9AAI,1
8,2020-10-03,4.0,0013j0000304oN9AAI,1
9,2020-08-19,10.0,0013j00002yzpxZAAQ,1
10,2020-09-01,7.0,0013j00002yzpxZAAQ,1
11,2020-08-15,23.0,0013j00002z0RA5AAM,1
12,2020-10-14,4.0,0013j00002zOcuAAAS,1
13,2020-10-27,3.0,0013j00002zOcuAAAS,1
14,2020-08-20,10.0,0013j00002yp2xzAAA,1
15,2020-08-20,10.0,0013j00002yp2xzAAA,1
16,2020-08-28,6.0,0013j00002yp2xzAAA,1
17,2020-08-28,7.0,0013j00002yp2xzAAA,1
18,2020-07-09,711.0,0013j00002ykv22AAA,1
19,2020-08-03,15.0,0013j00002ykv22AAA,1
20,2020-08-03,15.0,0013j00002ykv22AAA,1
21,2020-08-05,9.0,0013j00002ykv22AAA,1
22,2020-09-04,12.0,0013j00002zQYkYAAW,1
23,2020-09-25,32.0,0013j00002zQYkYAAW,1
24,2020-10-10,4.0,0013j00002zQYkYAAW,1
25,2020-07-26,4.0,0013j00002yoNZRAA2,1
26,2020-08-14,15.0,0013j00002yoNZRAA2,1
27,2020-09-14,14.0,0013j00002ze1nXAAQ,1
28,2020-10-05,3.0,0013j00002z1EjRAAU,1
29,2020-07-14,23.0,0013j00002ymQTIAA2,1
30,2020-07-15,6.0,0013j00002ymQTIAA2,1
31,2020-09-14,8.0,0013j00002zg2jKAAQ,1
32,2020-09-24,10.0,0013j00002zg2jKAAQ,1
33,2020-10-28,6.0,0013j00002zg2jKAAQ,1
